Año;Periodo;Tasa de paro juvenil
2002;Trimestre 1;22,08
2002;Trimestre 2;21,5
2002;Trimestre 3;22,05
2002;Trimestre 4;23,16
2003;Trimestre 1;23,4
2003;Trimestre 2;22,28
2003;Trimestre 3;22,19
2003;Trimestre 4;22,93
2004;Trimestre 1;22,65
2004;Trimestre 2;22,46
2004;Trimestre 3;21,63
2004;Trimestre 4;21,27
2005;Trimestre 1;21,7
2005;Trimestre 2;20,29
2005;Trimestre 3;18,01
2005;Trimestre 4;18,62
2006;Trimestre 1;18,71
2006;Trimestre 2;18,2
2006;Trimestre 3;16,9
2006;Trimestre 4;17,81
2007;Trimestre 1;17,72
2007;Trimestre 2;18,12
2007;Trimestre 3;17,87
2007;Trimestre 4;18,66
2008;Trimestre 1;21,08
2008;Trimestre 2;23,62
2008;Trimestre 3;24,18
2008;Trimestre 4;28,97
2009;Trimestre 1;35,54
2009;Trimestre 2;38,06
2009;Trimestre 3;38,57
2009;Trimestre 4;38,81
2010;Trimestre 1;40,73
2010;Trimestre 2;41,98
2010;Trimestre 3;40,56
2010;Trimestre 4;42,73
2011;Trimestre 1;45,3
2011;Trimestre 2;45,86
2011;Trimestre 3;45,58
2011;Trimestre 4;48,14
2012;Trimestre 1;51,67
2012;Trimestre 2;53,03
2012;Trimestre 3;52,01
2012;Trimestre 4;54,83
2013;Trimestre 1;56,92
2013;Trimestre 2;55,98
2013;Trimestre 3;54,14
2013;Trimestre 4;54,89
2014;Trimestre 1;55,49
2014;Trimestre 2;53,12
2014;Trimestre 3;52,39
2014;Trimestre 4;51,8
2015;Trimestre 1;51,36
2015;Trimestre 2;49,21
2015;Trimestre 3;46,58
2015;Trimestre 4;46,25
2016;Trimestre 1;46,5
2016;Trimestre 2;46,48
2016;Trimestre 3;41,94
2016;Trimestre 4;42,92
2017;Trimestre 1;41,66
2017;Trimestre 2;39,53
2017;Trimestre 3;35,97
2017;Trimestre 4;37,47
2018;Trimestre 1;36,34
2018;Trimestre 2;34,68
2018;Trimestre 3;33
2018;Trimestre 4;33,53
2019;Trimestre 1;34,97
2019;Trimestre 2;33,15
2019;Trimestre 3;31,67
2019;Trimestre 4;30,52
2020;Trimestre 1;32,99
2020;Trimestre 2;39,61
2020;Trimestre 3;40,45
2020;Trimestre 4;40,14
2021;Trimestre 1;39,53
2021;Trimestre 2;38,38
2021;Trimestre 3;31,15
2021;Trimestre 4;30,7
;;
;;
"Métrica:""Tasa de paro juvenil""";;
"Fuente:""INE""";;
"Clasificación:""""";;
"Unidad:""Número de personas""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion-tasa-paro-juvenil/8436699d-6fd3-41c9-a3eb-ac5ad9cfe889/espana/106""";;
"Titulo:""Evolución de la tasa de paro juvenil""";;
"Subtitulo:""Desempleo de menores de 25 años""";;
